filename,words
1.png,.58.9782880;510044;2755040721319203;84-
2.png,.58.9782880;510044;2755040721319203;84-
3.png,.58.9782880;510044;2755040721319203;84-
4.png,.58.9782880;510044;2755040721319203;84-
5.png,.58.9782880;510044;2755040721319203;84-
6.png,.58.9782880;510044;2755040721319203;84-
7.png,.58.9782880;510044;2755040721319203;84-
8.png,.58.9782880;510044;2755040721319203;84-
9.png,092.9860858;452158;5677829258532113;81-
10.png,092.9860858;452158;5677829258532113;81-
11.png,092.9860858;452158;5677829258532113;81-
12.png,092.9860858;452158;5677829258532113;81-
13.png,092.9860858;452158;5677829258532113;81-
14.png,.81.5480545;574285;6893867301659326;49-
15.png,.81.5480545;574285;6893867301659326;49-
16.png,.81.5480545;574285;6893867301659326;49-
17.png,.81.5480545;574285;6893867301659326;49-
18.png,.81.5480545;574285;6893867301659326;49-
19.png,.61.4886356;378818;0472415527860569;48-
20.png,.61.4886356;378818;0472415527860569;48-
21.png,.61.4886356;378818;0472415527860569;48-
22.png,.61.4886356;378818;0472415527860569;48-
23.png,.61.4886356;378818;0472415527860569;48-
24.png,.61.4886356;378818;0472415527860569;48-
25.png,.61.4886356;378818;0472415527860569;48-
26.png,.61.4886356;378818;0472415527860569;48-
27.png,.91.8880753;349956;6363478879626655;16-
28.png,.91.8880753;349956;6363478879626655;16-
29.png,.91.8880753;349956;6363478879626655;16-
30.png,.91.8880753;349956;6363478879626655;16-
31.png,.91.8880753;349956;6363478879626655;16-
32.png,.63.5369644;489997;3596913989360453;83-
33.png,.63.5369644;489997;3596913989360453;83-
34.png,.63.5369644;489997;3596913989360453;83-
35.png,.63.5369644;489997;3596913989360453;83-
36.png,.63.5369644;489997;3596913989360453;83-
37.png,.91.0138932;324000;2216314361244372;03-
38.png,.91.0138932;324000;2216314361244372;03-
39.png,.91.0138932;324000;2216314361244372;03-
40.png,.91.0138932;324000;2216314361244372;03-
41.png,.91.0138932;324000;2216314361244372;03-
42.png,.91.0138932;324000;2216314361244372;03-
43.png,.91.0138932;324000;2216314361244372;03-
44.png,.91.0138932;324000;2216314361244372;03-
45.png,.82.2068934;321673;6205430184612451;82-
46.png,.82.2068934;321673;6205430184612451;82-
47.png,.82.2068934;321673;6205430184612451;82-
48.png,.82.2068934;321673;6205430184612451;82-
49.png,.82.2068934;321673;6205430184612451;82-
50.png,.89.9672610;166056;7395212858689892;40-
51.png,.89.9672610;166056;7395212858689892;40-
52.png,.89.9672610;166056;7395212858689892;40-
53.png,.89.9672610;166056;7395212858689892;40-
54.png,.89.9672610;166056;7395212858689892;40-
55.png,.42.4218443;840937;3015861646634140;25-
56.png,.42.4218443;840937;3015861646634140;25-
57.png,.42.4218443;840937;3015861646634140;25-
58.png,.42.4218443;840937;3015861646634140;25-
59.png,.42.4218443;840937;3015861646634140;25-
60.png,.42.4218443;840937;3015861646634140;25-
61.png,.42.4218443;840937;3015861646634140;25-
62.png,.42.4218443;840937;3015861646634140;25-
63.png,.76.6590298;201624;4375322993017482;10-
64.png,.76.6590298;201624;4375322993017482;10-
65.png,.76.6590298;201624;4375322993017482;10-
66.png,.76.6590298;201624;4375322993017482;10-
67.png,.76.6590298;201624;4375322993017482;10-
68.png,.45.1604974;865252;7107988835758756;27-
69.png,.45.1604974;865252;7107988835758756;27-
70.png,.45.1604974;865252;7107988835758756;27-
71.png,.45.1604974;865252;7107988835758756;27-
72.png,.45.1604974;865252;7107988835758756;27-
73.png,.02.0016418;702742;0061332447493181;86-
74.png,.02.0016418;702742;0061332447493181;86-
75.png,.02.0016418;702742;0061332447493181;86-
76.png,.02.0016418;702742;0061332447493181;86-
77.png,.02.0016418;702742;0061332447493181;86-
78.png,.02.0016418;702742;0061332447493181;86-
79.png,.02.0016418;702742;0061332447493181;86-
80.png,.02.0016418;702742;0061332447493181;86-
81.png,.57.8345775;558902;4777026062573031;09-
82.png,.57.8345775;558902;4777026062573031;09-
83.png,.57.8345775;558902;4777026062573031;09-
84.png,.57.8345775;558902;4777026062573031;09-
85.png,.57.8345775;558902;4777026062573031;09-
86.png,.25.3580178;379738;2151378100527469;92-
87.png,.25.3580178;379738;2151378100527469;92-
88.png,.25.3580178;379738;2151378100527469;92-
89.png,.25.3580178;379738;2151378100527469;92-
90.png,.25.3580178;379738;2151378100527469;92-
91.png,.86.4010224;319569;9436981028974736;24-
92.png,.86.4010224;319569;9436981028974736;24-
93.png,.86.4010224;319569;9436981028974736;24-
94.png,.86.4010224;319569;9436981028974736;24-
95.png,.86.4010224;319569;9436981028974736;24-
96.png,.86.4010224;319569;9436981028974736;24-
97.png,.86.4010224;319569;9436981028974736;24-
98.png,.86.4010224;319569;9436981028974736;24-
99.png,087.7600479;323345;2740393680851238;99-
100.png,087.7600479;323345;2740393680851238;99-
101.png,087.7600479;323345;2740393680851238;99-
102.png,087.7600479;323345;2740393680851238;99-
103.png,087.7600479;323345;2740393680851238;99-
104.png,.96.0919264;846484;2378061530845294;09-
105.png,.96.0919264;846484;2378061530845294;09-
106.png,.96.0919264;846484;2378061530845294;09-
107.png,.96.0919264;846484;2378061530845294;09-
108.png,.96.0919264;846484;2378061530845294;09-
109.png,023.1121825;892412;9198937361856739;50-
110.png,023.1121825;892412;9198937361856739;50-
111.png,023.1121825;892412;9198937361856739;50-
112.png,023.1121825;892412;9198937361856739;50-
